Nº,Desc. nacionalidade,A/S curricular aluno,Sexo (M/F),Desc. tipos aluno,Cód. curso,Nome curso,Área Científica,Empregabilidade,Ano lectivo ingresso,Candidatos - Formade Ingresso 1.º ano 1.ª vez,Nota de Ingresso,Ano Nascimento,Idade neste ano letivo,Ano conclusão habilitação anterior,Classificação habilitação anterior,Desc. habilitação anterior,Desc. regime frequência,Bolsa DGES,Concelho,Km Distância ISEC Lisboa - Concelho Morada Indicada pelo estudante,Desc. habilitação literária mãe,Desc. habilitação literária pai,Desc. profissão mãe,Desc. profissão pai,Desc. situação profissional mãe,Desc. situação profissional pai,Desc. situação profissional (aluno),Desc. grupo profissional (aluno),ECTS (aprovados),ECTS (inscrito),% de ECTS feitos face inscritos,Média UC Realizadas,Diplomou-se até 2022 (Curso),Diplomou-se até 2022 (Data),Abandono?
20210001,Portuguesa,1,F,Trabalhador Estudante,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,N - Licenciatura - Titulares de diploma de vias profissionalizantes (dupla certificação),14.55,1997,24,2017,14.6,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Oeiras,21.30,9º ano de esco(antigo 5º ano liceal/ensino técni.),Desconhecido,Não Responde,Não Responde,Trabalha por conta própria - independente (sem empregados),Trabalha por conta de outrém,Trabalha por conta de outrém,Vendedores,60,60,100%,18.02,Não,Não,renovou no ano seguinte
20210089,Venezuelana,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,L - Licenciatura - Titulares de diploma de especialização tecnológica - CET + Prova de Ingresso Interna,15.30,1999,22,2021,16,Curso de Especialização Tecnológica,Diurno (horário não vinculativo),Não,Cascais,35.30,Outra,Outra,"Empregados de escritório, secretários em geral e operadores de processamento de dados","Empregados de escritório, secretários em geral e operadores de processamento de dados",Trabalha por conta de outrém,Trabalha por conta de outrém,Trabalha por conta de outrém,Pessoal de apoio directo a clientes,60,60,100%,15.22,Não,Não,renovou no ano seguinte
20210091,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,K - Licenciatura - Titulares de diploma de curso técnico superior profissional - CTeSP de outro estabelecimento,15.05,1996,25,2020,14,Titulares de diploma de CTeSP,Diurno (horário não vinculativo),Não,Sintra,32.10,12.º ano de escolaridade,9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta própria - (como empregador),"Aluno, estudante",Desconhecido/não sabe,60,60,100%,14.83,Não,Não,renovou no ano seguinte
20210133,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,I - Licenciatura - Mudança de Par Instituição/Curso,18.80,2001,20,2020,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Sintra,32.10,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Não Responde,60,60,100%,15.10,Não,Não,renovou no ano seguinte
20210149,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,H - Licenciatura - Acesso para maiores de 23,16.60,1996,25,2015,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Torres Vedras,45.30,12.º ano de escolaridade,12.º ano de escolaridade,Não Responde,Não Responde,Domestica/o,Trabalha por conta de outrém,Trabalha no negócio de familia,Pessoal de apoio directo a clientes,0,60,0%,0.00,Não,Não,renovou no ano seguinte
20210179,Portuguesa,1,M,Aluno NEE,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],14.28,2003,18,2021,17,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Oeiras,21.30,Licenciatura,Licenciatura,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,15.72,Não,Não,renovou no ano seguinte
20210177,Portuguesa,1,M,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],11.82,2002,19,2021,12,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Salvaterra Magos,65.50,Licenciatura,Ensino médio,"Empregados de escritório, secretários em geral e operadores de processamento de dados",Pessoal de apoio direto a clientes,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Outra situação,56,60,93%,13.16,Não,Não,renovou no ano seguinte
20210188,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],15.20,2003,18,2021,15,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Loures,10.10,Licenciatura,Licenciatura,Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,16.22,Não,Não,renovou no ano seguinte
20210194,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],11.23,2000,21,2019,12,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Loures,10.10,Não Responde,Não Responde,Não Responde,Não Responde,Desconhecida /Não Tem,Desconhecida /Não Tem,"Aluno, estudante",Outra situação,60,60,100%,15.98,Não,Não,renovou no ano seguinte
20210207,Portuguesa,1,F,Normal,9073,Design e Produção Gráfica,214 – Design,97.90%,202122,G - Licenciatura - Regime geral de acesso [12º ano + Exames Nacionais],13.43,2001,20,2020,13,12.º ano de escolaridade,Diurno (horário não vinculativo),Não,Loures,10.10,12.º ano de escolaridade,9º ano de esco(antigo 5º ano liceal/ensino técni.),Não Responde,Não Responde,Trabalha por conta de outrém,Trabalha por conta de outrém,"Aluno, estudante",Desconhecido/não sabe,60,60,100%,14.88,Não,Não,renovou no ano seguinte
